,name,platform,director,casting,rating,원제,제작 연도,장르,국가,연령 등급,내용,채널
3615,다큐프라임 - 교육대기획 10부작 학교란 무엇인가,,[],[],3.9,다큐프라임 - 교육대기획 10부작 학교란 무엇인가,2010,다큐멘터리,한국,,하루 152명의 아이들이 학교를 떠나고 있다. 왜 학생은 학교를 떠나는 것일까? 우리가 정말 원하는 학교는 무엇일까? 우리가 정말 원하는 '학교'를 만들어갈 방법에 대해 고찰한다.,EBS
3616,슈퍼스타K4,,[],"['김성주', '이승철', '싸이', '윤미래', '윤건', '로이 킴']",3.1,슈퍼스타K,2012,,한국,15세 관람가,전 국민을 대상으로 신인가수를 발굴하는 서바이벌 오디션 프로그램,Mnet
3617,여름방학,['티빙'],['나영석'],"['정유미', '최우식']",3.5,여름방학,2020,예능,한국,,"혼자, 또는 친구들과 함께 낯선 곳에서 여행 같은 일상을 즐기며 지친 몸과 마음의 균형을 찾아가는 어른이들의 홈캉스 리얼리티. 

일상을 짊어진 채 반복되는 하루를 살아가는 우리. 잃어버린 몸과 마음의 균형을 찾고 나를 리셋하는 쉼표의 시간. 삶의 하프타임인 ‘여름방학’을 맞아, 낯선 곳에서 새로운 일상 찾기에 나선 유미와 우식. 드넓은 바다가 앞마당처럼 펼쳐져 있고 오렌지빛 햇살이 지붕처럼 쏟아지며 자전거로 어디든 갈 수 있는 작고 조용한 우리 동네. 때론 혼자서, 때론 친구들과 함께 여행 같은 순간들을 즐기며 건강하게 먹고, 운동하고, 하루의 끝엔 나를 돌아보는 한 여름밤의 기록들. 낭만 가득 어른이들의 설레는 홈캉스 ‘여름방학’ 이야기. 우리 집으로 여행 오실래요?",tvN
3618,영거 시즌 1,"['왓챠', '웨이브', '티빙']",[],"['서튼 포스터', '힐러리 더프', '데비 마자', '미리암 쇼어', '몰리 버나드', '피터 허만']",3.5,Younger,2015,코미디/로맨스/시트콤/TV드라마,미국,15세 관람가,갑작스러운 이혼으로 새로운 일을 시작하려 하나 적지 않은 나이로 고민하는 주인공을 돕는 친구 덕분에 위장 취업을 하게 되면서 생기는 이야기,TV Land
3619,사브리나의 오싹한 모험 파트 2,['넷플릭스'],[],"['키어넌 쉽카', '로스 린치', '루시 데이비스', '휘트니 피크', '챈스 퍼도모', '스펜서 트리트 클락']",3.6,Chilling Adventures of Sabrina,2019,드라마/SF/판타지/미스터리/TV드라마,미국,,"가족과 함께 마녀 세계에 머무를 지, 친구들과 함께 인간 세계에 살 지 선택의 기로에 놓인 반은 마녀이고, 반은 인간인 열여섯 소녀 사브리나의 이야기",Netflix
3620,두 여자 시즌 2,['왓챠'],[],"['강민정', '김민하', '임태형', '김태범']",3.4,두 여자,2016,TV드라마,한국,12세 관람가,"You can't read us! 남들은 모르는 우리만의 속마음, 둘만큼의 세계에서 즐거운 두 여자",웹드라마
3621,그녀의 사생활,"['넷플릭스', '티빙']",[],"['박민영', '김재욱', '안보현', '박진주', 'ONE', '홍서영']",3.2,그녀의 사생활,2019,로맨틱 코미디/TV드라마,한국,15세 관람가,직장에선 완벽한 큐레이터지만 알고보면 아이돌 덕후인 성덕미가 까칠한 상사 라이언을 만나며 벌어지는 본격 덕질 로맨스를 그린 드라마,tvN
3622,치어: 승리를 위하여 시즌 1,['넷플릭스'],[],[],4.1,Cheer,2020,다큐멘터리,미국,,최고의 실력을 자랑하는 나바로 대학 치어리더팀. 그들이 새로운 전설에 도전한다. 전국 대회 우승을 향한 여정. 그 속에서 펼쳐지는 우여곡절을 담은 다큐멘터리 시리즈.,Netflix
3623,하산 미나즈 쇼: 이런 앵글 2부,['넷플릭스'],[],['하산 미나즈'],3.8,Patriot Act with Hasan Minhaj,2019,코미디,미국,,하산 미나즈가 새로운 앵글로 돌아왔다! 매주 독특하고 상쾌한 시선으로 풀어내는 복잡한 뉴스와 현상들. 오늘날을 사는 이들을 위한 시사 교양 코미디쇼가 다시 시작된다.,Netflix
3624,하산 미나즈 쇼: 이런 앵글 1부,['넷플릭스'],[],['하산 미나즈'],3.8,Patriot Act with Hasan Minhaj,2018,코미디,미국,,"지구촌 소식, 정치, 문화를 한 번에 살펴볼 절호의 기회가 온다! 독특한 시선과 현란한 말솜씨의 코미디언 하산 미나즈. 그가 선사하는 신개념 주간 시사 코미디 시리즈.",Netflix
3625,길 위의 셰프들,['넷플릭스'],[],['필립 허쉬'],3.3,Street Food,2019,다큐멘터리,미국,,"2019년 4월에서 Netflix에서 방영을 시작한 다큐멘터리. 수많은 사람이 오가는 거리엔 수많은 맛이 살아있다. 끓이고 튀기고 굽고 지지고, 가끔은 날것 그대로 내는 길거리 음식. 달콤한 설탕을 졸이며 쓰디쓴 삶을 견뎠다. 향신료를 한데 섞으며 흩어진 가족을 되찾았다. 길거리 음식에 담긴 숱한 사연. 셰프의 테이블 제작진이 아시아 여러 나라의 골목과 노점, 시장에서 만난 장인들의 길거리 음식 문화와 역사를 직접 들려주며 그 맛을 따라 다양한 역사와 문화를 탐험한다. 또한 장인들의 시그니처 메뉴와 그에 담긴 그들의 삶도 조명한다.",Netflix
3626,크로노 크루세이드,,[],"['카와카미 토모코', '이시다 아키라', '치바 사에코', '사카키바라 요시코', '하야미 쇼', '미나가와 준코']",3.8,クロノクルセイド,2003,애니메이션,일본,15세 관람가,오컬트의 주된 소재 중 하나인 악령퇴치를 종교와 결부시킨 엑소시스트의 장르의 작품,Fuji TV
3627,스캄 프랑스 시즌 6,"['왓챠', '웨이브', '티빙']",[],"['플라비 드랑그르', '아유미 루', '륄라 꼬똥 프아피에르', '필리핀 스탕델', '마릴린 리마', '악셀 오히앙']",4.2,Skam France,2020,틴에이저/드라마/TV드라마,"프랑스,벨기에",15세 관람가,"엠마, 마농, 다프네, 알렉스, 이만. 다섯 명의 고등학생들을 중심으로 우정과 사랑, 관계와 성장을 담은 이야기.",France 4
3628,길모어 걸스 : 한 해의 스케치,['넷플릭스'],"['다니엘 팔라디노', '다니엘 팔라디노', '다니엘 팔라디노']","['케이코 아제나', '아리스 알라바도', '맷 츄크리', '케이코 아제나', '아리스 알라바도', '맷 츄크리']",3.7,Gilmore Girls: A Year in the Life,2016,드라마/코미디/TV드라마,미국,15세 관람가,길모어 걸스의 리부트 시리즈로 소녀에서 여인으로 성장해 가는 로리와 사랑에 대해 성숙해진 로렐라이 모녀의 이야기.,Netflix
3629,어젯밤의 카레 내일의 빵,,"['시게하라 유지', '아베 마사카즈', '사사키 쇼타', '시게하라 유지', '아베 마사카즈', '사사키 쇼타']","['나카 리이사', '카가 타케시', '미조바타 준페이', '호시노 겐', '미무라', '카타기리 하이리']",3.6,昨夜のカレー、明日のパン,2014,드라마/가족/TV드라마,일본,,시아버지와 테츠코를 중심으로 묘한 인연으로 연결돼있는 사람들과 만나면서 일어나는 이야기,NHK BS
3630,앱스트랙트 : 디자인의 미학 시즌 2,['넷플릭스'],[],[],4.1,Abstract: The Art of Design,2019,다큐멘터리,미국,,다양한 분야에서 활동하는 디자이너들의 일상과 디자인의 세계를 보여주는 다큐멘터리 시리즈,Netflix
3631,용감한 형사들 2,"['왓챠', '넷플릭스', '티빙']",[],"['송은이', '안정환', '이이경', '권일용']",4.2,용감한 형사들,2022,예능,한국,15세 관람가,형사들이 지켜보고 있다! 진실을 쫓는 형사들의 리얼한 사건일지,E Channel
3632,나는 아버지를 죽였다,['넷플릭스'],[],[],3.5,I Just Killed My Dad,2022,다큐멘터리/범죄,미국,,-,Netflix
3633,11월 13일: 파리 테러 그 이후,['넷플릭스'],[],[],3.8,November 13: Attack on Paris,2018,다큐멘터리,프랑스,15세 관람가,2015년 11월 13일 파리에서 일어난 테러사건을 다룬 다큐멘터리.,Netflix
3634,어쩌다 사장,['티빙'],['유호진'],"['차태현', '조인성']",3.4,어쩌다 사장,2021,예능,한국,15세 관람가,"그 겨울, '어쩌다' 사장이 됐다?! 시골 가게를 덜컥 맡게된 도시남자 차태현x조인성의 시골슈퍼 영업일지",tvN
3635,어쩌다 사장 시즌 2,['티빙'],['유호진'],"['차태현', '조인성']",3.3,어쩌다 사장,2022,예능,한국,15세 관람가,차태현x조인성의 시골슈퍼 영업일지,tvN
3636,스캄 프랑스 시즌 5,"['왓챠', '웨이브', '티빙']",[],"['로뱅 미녜', '필리핀 스탕델', '악셀 오히앙', '아사 실라', '륄라 꼬똥 프아피에르', '콜린 프르에']",4.3,Skam France,2020,틴에이저/드라마/TV드라마,"프랑스,벨기에",15세 관람가,"엠마, 마농, 다프네, 알렉스, 이만. 다섯 명의 고등학생들을 중심으로 우정과 사랑, 관계와 성장을 담은 이야기.",France 4
3637,빅 캣,"['왓챠', '티빙']",[],[],4.4,Big Cats,2018,다큐멘터리,"영국,미국,프랑스",전체 관람가,"귀엽기도 하고, 무시무시한 포식자이기도 하고, 똑똑하고 강인하지만 부드러운 면모도 지닌 고양이. 셀 수 없을 만큼 다양한 모습과 매력을 지닌 고양이의 모든 것을 파헤친다. 전 세계적으로 많은 사랑을 받는 고양이에 대한 색다른 이야기를 담은 다큐멘터리.",BBC One
3638,비밀의 집: 부라리 일가 사망 사건,"['넷플릭스', '웨이브']",[],[],3.0,House of Secrets: The Burari Deaths,2021,다큐멘터리/범죄/역사,인도,15세 관람가,자살 혹은 살인? 둘 다 아니라면 무엇일까. 델리에서 발생한 일가족 사망 사건. 다큐시리즈를 통해 11구의 시체가 발견된 참혹한 사건의 섬뜩한 진실과 정황을 둘러싼 이론을 파헤쳐 본다.,Netflix
3639,어둠 속으로 시즌 2,['넷플릭스'],[],"['얀 베이풋', '메멧 쿠투루스', '폴린 에띠엔느', '로랑 카펠루토', '알바 가이아 벨루지', '크사베리 슐렌키에르']",2.8,Into the Night,2021,드라마/SF/스릴러/TV드라마,벨기에,,-,Netflix
3640,김씨네 편의점 시즌 4,['넷플릭스'],[],"['폴 선-형 리', '진 윤', '안드레아 방', '시무 리우', '앤드류 펑', '니콜 파워']",3.6,Kim's Convenience,2020,코미디/TV드라마,캐나다,,캐나다 토론토에서 편의점을 운영하는 한국계 캐나다인 가족의 모습을 그린 시트콤,CBC
3641,미디어 재판,['넷플릭스'],[],[],3.6,Trial by Media,2020,다큐멘터리,미국,,-,Netflix
3642,김씨네 편의점 시즌 3,['넷플릭스'],[],"['폴 선-형 리', '진 윤', '안드레아 방', '시무 리우', '앤드류 펑']",3.5,Kim's Convenience,2019,코미디/TV드라마,캐나다,,캐나다 토론토에서 편의점을 운영하는 한국계 캐나다인 가족의 모습을 그린 시트콤,CBC
3643,애거서 크리스티의 누명,,[],"['빌 나이', '앤소니 보일', '안나 챈슬러', '모븐 크리스티', '크리스탈 클라크', '크리스찬 쿠크']",3.5,Ordeal by Innocence,2018,드라마/미스터리/스릴러/TV드라마,"미국,영국",,어머니를 살해한 혐의로 수감된 후 사망한 청년이 있다. 한 과학자가 청년의 남겨진 가족을 찾아가면서 벌어지는 이야기를 다룬 드라마,BBC One
3644,울프스레인,,[],"['김영선', '정승욱', '최재익', '양정화', '서윤선', '김선혜']",3.7,Wolf's Rain,2003,애니메이션,일본,,"세계는 조금씩 죽어가고 있다. 천천히 그러나 확실하게 진행되는 쇠퇴의 물결, 지금은 전설이 되어버린 인간이면서 늑대이기도 한 생물 '늑대', 그리고 지배 계급으로 인간사회에 군림하는 '귀족'. 이 세계의 어딘가에는낙원이 있어 과거 인간 문명이 멸망했을때 늑대들은 그 곳에 살고 있었다고 전해진다. 한 편 '달의 꽃'은 달빛을 받아 낙원에 피어나고, 또 그 향기가 낙원을 인도해준다고 한다. 귀족은 달의 꽃을 찾으러 혈안이 되고, 꽃의 유전자로 만들어냈다는 소녀 체자가 그 중심에 놓이는데...",Fuji TV
3645,아가사 크리스티 : 명탐정 포와로 시즌 7,"['왓챠', '웨이브', '티빙']","['앤드류 그리브', '브라이언 판햄', '앤드류 그리브', '브라이언 판햄']","['데이빗 서쳇', '휴 프레이저', '필립 잭슨', '폴린 모런', '데이빗 서쳇', '휴 프레이저']",4.1,Agatha Christie's Poirot,2000,드라마/범죄/미스터리/스릴러/TV드라마,영국,15세 관람가,"미스터리 추리 소설의 여왕 아가사 크리스티의 작품을 영상화 한 시리즈로, 원작 소설에 등장하는 명탐정 '포와로' 가 미궁에 빠진 사건들을 풀어가는 이야기를 그린 드라마.",ITV
3646,모 아니면 도: 아스널,,[],['미켈 아르테타'],4.3,All or Nothing: Arsenal,2022,다큐멘터리/스포츠,영국,,"모 아니면 도: 아스널 편은 상징적인 이 축구팀의 잊기 힘든 한 시즌을 취재한다. 팬들이 경기장으로 돌아오면서 아스널의 감독인 미켈 아르테타와 그의 어린 팀에게는 과거의 영광을 되찾고 챔피언스리그에 진출해야 한다는 압박감이 시작된다. 전례 없던 구단 공개로 경기장 안과 밖에서의 울고 웃는 삶을 포착하고 있는 그대로의 드라마틱하고, 열정 가득한, 진정한 축구의 모습을 담았다.",Amazon Prime Video
3647,우주의 전사 쉬라 시즌 3,['넷플릭스'],[],"['아미 카레로', '카렌 후쿠하라', '아만다 미칼카', '마커스 스크리브너', '레쉬마 쉬티', '로레인 투세인트']",4.0,She-Ra and the Princesses of Power,2019,모험/액션/애니메이션,미국,,"호르드 병사였던 고아, 아도라. 마법의 검을 발견한 그녀는 전설적인 영웅, 쉬라로 거듭난다. 이제 에더리아를 지키기 위해, 그녀는 독립군이 되어 악당 호르드에 맞선다.",Netflix
3648,구울,['넷플릭스'],['패트릭 그레이엄'],['마헤시 발라지'],3.1,Ghoul,2018,드라마/판타지/공포/SF,인도,청소년 관람불가,군 수용소에 새로 들어온 수감자. 괴상한 언행으로 군인들을 혼란에 빠뜨린다. 그의 정체를 밝혀내려는 신임 심문관은 상상도 못 한 충격적인 비밀과 마주치게 된다.,Netflix
3649,데어 미,['넷플릭스'],[],"['윌라 피츠제럴드', '말로 켈리', '잭 로리그', '폴 피츠제럴드', '앨리슨 손튼', '타비타 시마노비치']",3.3,Dare Me,2019,범죄/미스터리/스릴러/TV드라마,미국,청소년 관람불가,"자신만만한 주장 베스와 그녀의 충직한 절친 애디가 주무르던 치어리더팀. 작은 동네의 고등학교에 새로운 코치가 온 후, 극적인 사건과 미스터리, 위험이 이곳을 덮친다.",usa
3650,초인가족 2017,['웨이브'],[],"['박혁권', '박선영', '김지민', '엄효섭', '박희본', '김기리']",3.6,초인가족 2017,2017,TV드라마,한국,12세 관람가,"이 시대를 살아내고 있는 우리 모두는 ‘초인’이라는 주제 아래, 평범한 회사원, 주부, 학생들의 이야기를 웃음과 감성, 풍자를 통해 그린 미니 드라마",SBS
3651,미라큘러스: 레이디버그와 블랙캣 시즌 1,"['넷플릭스', '디즈니+']",[],[],3.7,Miraculous: Tales of Ladybug & Cat Noir,2015,애니메이션/액션/모험,"프랑스,한국,일본",7세 관람가,파리를 구하기 위해서 선택된 마리네뜨와 아드리앙! 마법의 귀걸이와 반지로 슈퍼히어로 '레이디버그'와 '블랙캣'으로 변신하게 되는데. 마법의 힘으로 슈퍼히어로가 된 평범한 소녀의 비밀스러운 이야기를 함께 지켜보자!,TF1
3652,미라큘러스: 레이디버그와 블랙캣 시즌 2,"['넷플릭스', '디즈니+']",[],[],3.8,Miraculous: Tales of Ladybug & Cat Noir,2016,애니메이션/모험/액션,"한국,일본,프랑스",7세 관람가,파리를 구하기 위해서 선택된 마리네뜨와 아드리앙! 마법의 귀걸이와 반지로 슈퍼히어로 '레이디버그'와 '블랙캣'으로 변신하게 되는데. 마법의 힘으로 슈퍼히어로가 된 평범한 소녀의 비밀스러운 이야기를 함께 지켜보자!,TF1
3653,오츠 스튜디오,['넷플릭스'],[],"['시고니 위버', '다코타 패닝', '샬토 코플리', '호세 파블로 칸틸로', '유진 쿰바니와', '로버트 홉스']",3.2,Oats Studios,2017,SF/스릴러/공포/모험/TV드라마,캐나다,,닐 블롬캠프의 다양하고 실험적인 내용의 단편 모음,Netflix
3654,마이코네 행복한 밥상,['넷플릭스'],"['고레에다 히로카즈', '츠노 메구미', '고레에다 히로카즈', '츠노 메구미', '오쿠야마 히로시', '사토 타쿠마', '고레에다 히로카즈', '츠노 메구미', '오쿠야마 히로시', '사토 타쿠마', '고레에다 히로카즈', '츠노 메구미', '오쿠야마 히로시', '사토 타쿠마']","['데구치 나츠키', '마키타 아쥬', '모리 나나', '마츠자카 케이코', '하시모토 아이', '마츠오카 마유']",3.0,舞妓さんちのまかないさん,2023,드라마/TV드라마,일본,15세 관람가,교토의 게이샤 거리를 무대로 펼쳐지는 이야기. 마이코(견습 게이샤) 스미레와 마이코들의 숙소에서 요리를 만드는 키요의 일상이 매일의 맛있는 식사를 통해 그려진다.,Netflix
3655,벌거벗은 한국사,['티빙'],[],"['최태성', '장예원', '김동현', '조나단']",4.0,벌거벗은 한국사,2022,역사/예능,한국,12세 관람가,한국사 큰 별 최태성 선생이 함께하는 쉽고 재미있는 한국사 스토리텔링쇼,tvN STORY
3656,2002 월드컵 이경규가 간다,,[],"['이경규', '김용만', '조형기', '이윤석', '찰스']",3.5,2002 월드컵 이경규가 간다,2002,예능,한국,,2002 한일월드컵 4강 신화의 기적을 이룬 태극전사들! 그들의 뒷편에는 울고 웃는 항상 가 있었다! 그 날의 뜨거운 함성과 열기의 숨은 뒷이야기를 공개한다.,MBC
3657,통 메모리즈,"['왓챠', '웨이브']",[],"['이학주', '허지원', '이재윤', '학진', '구성환', '김지안']",3.7,통 메모리즈,2016,액션/TV드라마,한국,15세 관람가,부산 주먹의 전설이 된 정우와 그 옆에서 2인자로 자리매김한 두현. 이들을 중심으로 한 남고생들의 욕망과 세력 다툼이 적나라하게 펼쳐진다.,Daum
3658,히든싱어 3,['티빙'],"['조승욱', '김학민']",['전현무'],3.7,히든싱어,2014,예능/음악,한국,15세 관람가,진짜 가수 찾기가 시작된다! 더욱더 강력해져서 돌아온 <히든싱어3>,JTBC
3659,아프리카의 눈물,['왓챠'],"['장형원', '한학수']",[],4.0,아프리카의 눈물,2010,다큐멘터리,한국,전체 관람가,'북극의 눈물'과 '아마존의 눈물'에 이어 선보이는 '지구의 눈물' 시리즈 3탄으로 여태까지 볼 수 없던 아프리카의 새로운 모습을 담은 다큐멘터리,MBC
3660,히든싱어 2,['티빙'],['조승욱'],['전현무'],3.7,히든싱어,2013,예능,한국,15세 관람가,"재미도 2배, 감동도 2배, 상금도 2배! 진짜 가수 찾기가 시작된다!",JTBC
3661,여자는 무엇으로 사는가,,['황인뢰'],"['김혜자', '박원숙', '하희라']",3.5,여자는 무엇으로 사는가,1990,TV드라마,한국,15세 관람가,"남편의 무능과 바람 때문에 두 딸을 데리고 이혼한 정희는 대학 강사로 사회적인 출세를 이루지만 늘 허전함을 느낀다. 큰딸 영건은 자의식이 강한 방송작가가 되고, 둘째딸 영채는 대학 진학에 실패하자 곧 결혼하여 두아이를 둔 주부가 된다. 어느날 영채가 골수암으로 밝혀지자 오랜 갈등을 거듭해온 정희와 영건은 화해의 손을 잡는다. 서로 다르게 살아가는 세모녀의 모습을 각자의 시각에서 조명하여 인간 근원에 대한 원초적인 물음을 제시해 삶의 의미를 되새겨 보게 한 드라마.",MBC
3662,비버리 힐즈 아이들 시즌 1,,"['베타니 루니', '다니엘 아티아스', '베타니 루니', '다니엘 아티아스', '베타니 루니', '다니엘 아티아스']","['제이슨 프리스틀리', '섀넌 도허티', '제니 가스', '이언 지링', '가브리엘 카테리스', '루크 페리']",3.6,"Beverly Hills, 90210",1990,로맨스/드라마/TV드라마,미국,,비버리힐즈 부유한 주택에 사는 고등학생들의 이야기,FOX
3663,냉면 랩소디,['넷플릭스'],[],['백종원'],3.4,냉면 랩소디,2021,다큐멘터리,한국,전체 관람가,"이런 ‘차가운 면’은 세계 어디에도 없다! 가장 한국적인 음식, 냉면! 슴슴하지만 중독적인 맛- 그 맛의 비밀을 찾아 떠나는 팔도 미식 여행!",KBS1
3664,학교 2,['웨이브'],"['박찬홍', '고영탁', '이강현', '한준서']","['김래원', '김민희', '이요원', '고호경', '추소영', '고은채']",3.7,학교,1999,틴에이저/로맨스/TV드라마,한국,15세 관람가,"청소년 드라마 학교 시리즈 두 번째 이야기이다. 교실에서 벌어지는 일들, 아이들 사이의 크고 작은 문제들, 그 나이 또래만이 가질 수 있는 고민 등이 그려진 작품이다.",KBS2
3665,사토라레,,[],"['츠루타 마유', '오다기리 조', '사사키 쿠라노스케', '사토이 켄타', '미츠이시 켄', '하타노 히로코']",3.5,サトラレ,2002,로맨틱 코미디/판타지/드라마/TV드라마,일본,,생각하는 것이 주위에 들리는 능력을 지닌 '사토라레'에 관한 드라마,TV Asahi
3666,기묘한 이야기 2001 SMAP 특별편,,[],"['카토리 싱고', '야다 아키코', '쿠사나기 츠요시', '오오스기 렌', '기무라 타쿠야', '키키 키린']",3.7,世にも奇妙な物語,2001,TV드라마,일본,,기묘한 이야기를 소재로 다룬 옴니버스 형식의 호러드라마,
3667,86 -에이티식스- 2기,"['왓챠', '티빙']",[],"['치바 쇼야', '하세가와 이쿠미', '야마시타 세이이치로', '후지와라 나츠미', '하야미 사오리', '스즈시로 사유미']",4.6,86-エイティシックス-,2021,애니메이션/SF/전쟁/액션,일본,15세 관람가,"동부 전선 제1전투구역 제1 방어 부대, 통칭 스피어헤드 전단. 산마그놀리아 공화국으로부터 배제된 에이티식스 소년 소녀들로 구성되어있는 그들은, 기아데 제국이 투입한 무인 병기 '레기온'과의 가혹한 싸움에 몸을 던지고 있었다. 그렇게 하나둘 숫자가 줄어가는 스페어헤드 전단에게 주어진 성공률 0%, 임무 기간 무제한의 '특별 정찰 임무'. 그것은 실질적으로 모국으로부터 내려진 사형 선고였으나, 리더인 신에이 노우젠, 라이덴 슈가, 세오토 릿카, 앙쥬 에마, 크레나 쿠쿠미라 5명은 그럼에도 불구하고 계속 싸우며 앞으로 나아가는 길을 선택했다. 희망이나 미래를 추구하는 것이 아니다. '전장'이, 그들에게 있어선 유일하게 있을 곳이었으니까. 그리고 그 염원은 아이러니하게도 모르는 사이에 발을 디딘 새로운 땅에서 이루어지게 되었는데.",TOKYO MX
3668,3월의 라이온,,['신보 아키유키'],"['하나자와 카나', '카야노 아이', '쿠노 미사키']",4.0,3月のライオン,2016,애니메이션,일본,15세 관람가,"어릴 적 교통사고로 부모님을 잃은 소년 키리야마 레이는 아버지의 친구였던 장기 기사 코우다에게 거둬들여져 중학생 나이에 프로 기사가 되지만, 코우다의 친자식들과의 마찰로 인해 중학교 졸업을 계기로 집을 나와 자취를 시작한다. 그러나 학교에서도 고립되고, 장기 대국에서도 부진한 성적으로 고뇌에 빠지는데….

그런 그의 앞에 나타난 것은 아카리, 히나타, 모모 세 자매. 밝고 상냥한 그녀들을 통해 레이에게도 변화가 찾아오는데….",NHK
3669,충사 2기,,['나가하마 히로시'],"['나카노 유토', '도이 미카']",4.3,蟲師 続章,2014,애니메이션/판타지,일본,15세 관람가,무릇 먼 존재라 여겨지는 것. 하등하고 기괴하며 흔히 접하는 동식물과는 전혀 다른 것들. 인간의 눈에는 보이지 않는 그 이형의 무리에게 사람들은 예로부터 경외심을 품어왔고 언제부턴가 그것들을 통틀어 ‘벌레’라 칭하였다 이것은 그 벌레와 인간의 매개체 역할을 하는 한 충사(蟲師)의 이야기…,TOKYO MX
3670,충사 특별편,,['나가하마 히로시'],"['나카노 유토', '사사키 리오']",4.2,蟲師 特別篇 日蝕む翳(ひはむかげ),2014,애니메이션,일본,15세 관람가,벌레와 인간의 매개체 역할을 하는 한 충사의 이야기,TOKYO MX
3671,코우노도리 시즌 2,"['왓챠', '웨이브', '티빙']","['도이 노부히로', '야마모토 타케요시', '도이 노부히로', '야마모토 타케요시']","['아야노 고', '마츠오카 마유', '요시다 요', '사카구치 켄타로', '아사노 카즈유키', '아야노 고']",3.8,コウノドリ,2017,드라마/TV드라마,일본,15세 관람가,"다양한 사연을 지닌 산모와 가족 그리고 산부인과, 신생아과, 소아과, 응급과 등 생명이 탄생하는 현장에서 분투하는 의료진들의 이야기를 그린 드라마.",TBS
3672,내 이야기는 길어,,[],"['이쿠타 토마', '하라다 미에코', '야스다 켄', '코이케 에이코', '키요하라 카야', '스기노 요스케']",3.7,俺の話は長い,2019,드라마/코미디/TV드라마,일본,,현실도피만 하던 30대 니트족인 주인공이 가족으로 인해 자신의 삶을 바꾸어나가는 이야기를 그린 드라마,NTV
3673,고독한 미식가 2019 연말 스페셜 나리타~후쿠오카~부산 출장편,['웨이브'],[],"['마츠시게 유타카', '김중희']",3.7,孤独のグルメ 2019 大晦日スペシャル 緊急指令! 成田~福岡~釜山 弾丸出張編!,2019,TV드라마,일본,12세 관람가,"2019년 연말 출장을 떠난 이노가시라 고로가 나리타, 후쿠오카, 부산에서 지역 음식을 즐기는 모습을 그린 드라마.",TV Tokyo
3674,미자무강,"['왓챠', '웨이브', '티빙']",[],"['굴초소', '리일동', '왕두오', '곽설부']",4.0,媚者无疆,2018,드라마/액션/판타지/로맨스/TV드라마,중국,15세 관람가,후당의 혼란스러운 시기에 한 소녀가 신비로운 곳인 궤획성에 들어가게 되면서 벌어지는 이야기,Youku
3675,가족게임,"['왓챠', '웨이브', '티빙']",[],"['사쿠라이 쇼', '카미키 류노스케', '쿠츠나 시오리', '우라가미 세이슈', '이타오 이츠지', '스즈키 호나미']",3.9,家族ゲーム,2013,가족/미스터리/드라마/TV드라마,일본,15세 관람가,"고교 입시를 앞둔 중3 아들의 가정교사로, 괴짜에 엉뚱하지만 어딘가 그늘이 있어 보이는 청년이 오게 되면서 일어나는 소동을 코믹하게 그린 가족 드라마",Fuji TV
3676,남자 이야기,['웨이브'],[],"['박용하', '김강우', '박시연', '이필립', '안미나', '이문식']",3.7,남자 이야기,2009,로맨스/TV드라마,한국,15세 관람가,돈이 지배하는 정글 같은 세상에  맞서려는 남자와 그 세상을 가지려는 악마성을 지닌 천재의 정면대결을 그린 드라마.,KBS2
3677,미란다: 크리스마스 스페셜 2014,['왓챠'],[],"['미란다 하트', '패트리시아 호지', '사라 해드랜드', '톰 엘리스', '샐리 필립스', '제임스 홈즈']",4.4,Miranda,2014,로맨스/코미디/시트콤/TV드라마,영국,15세 관람가,"게리와 마이크에게 프러포즈를 받은 미란다는 고민 끝에 게리를 택한다. 꿈 꿔온 결혼을 앞두고 미란다는 들뜬 마음으로 준비에 들어가지만 좀처럼 게리의 사랑을 확신하지 못한다. 이로 인해 갈등의 골이 깊어진 두 사람은 결국 헤어지고, 미란다는 이별의 아픔을 통해 성장하려 한다. 하지만 게리를 향한 사랑이 여전하다는 것을 깨닫고, 우여곡절 끝에 게리의 마음도 확인한 뒤 두 사람은 친구들과 가족들의 축복 속에서 결혼식을 올리고 이야기는 막을 내린다.",BBC One
3678,악마판사,['티빙'],[],"['지성', '김민정', '진영', '박규영', '장영남', '정인겸']",3.0,악마판사,2020,드라마/TV드라마,한국,15세 관람가,"가상의 디스토피아 대한민국, 전 국민이 참여하는 라이브 법정 쇼와 함께 등장한 '악마판사' 강요한. 그는 모두가 원하는 영웅인가, 법관의 가면을 쓴 악마인가?",tvN
3679,신서유기 스페셜 스프링 캠프,['티빙'],[],"['강호동', '이수근', '은지원', '규현', '송민호', '피오']",3.7,신서유기,2021,예능,한국,15세 관람가,‘신서유기’ 멤버들이 다음 시즌을 대비하는 합숙 훈련!,TVING
